household_email,appliance_number,eer
aacey@rundofase.com,4,7.1
aamyot@ontomedia.com,1,2.1
aarceo@fasehatice.com,4,1.1
aarceo@fasehatice.com,5,1.3
aarceo@fasehatice.com,6,3
aarceo@zoomit.com,1,3.9
aaredondo@plexzap.com,3,0.7
aasar@fasehatice.com,2,1.1
aauber@cancity.com,3,1.8
aauffrey@rundofase.com,2,3.4
abachman@yearin.com,1,3
abarfield@dambase.com,1,2.9
abayless@faxquote.com,2,1.5
abeech@donware.com,1,3.9
abeech@donware.com,3,1.9
abiddy@bioholding.com,1,1.7
abilden@labdrill.com,2,1.3
abilden@labdrill.com,5,4.3
ablackwood@codehow.com,4,3.1
aboord@y-corporation.com,1,2
aboord@y-corporation.com,2,1.8
aborgman@konex.com,3,4.3
abrachle@konmatfix.com,1,2.4
abrucato@plussunin.com,1,1.5
abrucato@plussunin.com,4,3.5
abruschke@plusstrip.com,1,3.8
abruschke@plusstrip.com,8,1.7
abutzen@statholdings.com,2,1.3
acaldarera@cancity.com,1,4
acalvaresi@nam-zim.com,1,1.7
acalvaresi@ontomedia.com,4,2.6
acantres@dontechi.com,1,1.6
acantres@dontechi.com,2,13.1
acantres@dontechi.com,5,1.5
acantres@dontechi.com,6,4.6
achavous@xx-holding.com,2,1.4
achickering@rundofase.com,3,2
acloney@cancity.com,1,18.7
acoody@bioplex.com,2,1.6
acoody@finjob.com,2,0.7
acork@doncon.com,3,1.6
acoyier@y-corporation.com,3,4.2
adarakjy@plusstrip.com,2,4
adaufeldt@singletechno.com,2,1.1
adegonia@bioholding.com,4,1.8
adelasancha@faxquote.com,2,2.2
adelasancha@faxquote.com,3,1.9
ademesa@bioholding.com,1,1.3
adickerson@blackzim.com,2,1.2
adinos@rundofase.com,3,1.6
adiscipio@iselectrics.com,2,2
adopico@scottech.com,1,11.6
adopico@scottech.com,3,2.5
adopico@scottech.com,4,4.4
aeanes@fasehatice.com,3,1.6
aestell@ganjaflex.com,3,1.8
afallick@kinnamplus.com,3,2.3
afarrar@donquadtech.com,6,6.6
afarrar@green-plus.com,3,1.6
afarrar@kan-code.com,1,1.5
afarrar@kan-code.com,6,1.5
afeichtner@konex.com,1,2.2
afelger@doncon.com,1,1
afigeroa@dalttechnology.com,1,4.3
afigeroa@dalttechnology.com,3,1.5
afrey@treequote.com,1,10.5
agabisi@ganjaflex.com,1,2.4
agellinger@finhigh.com,1,1.6
agellinger@finhigh.com,4,3.7
agesick@rantouch.com,3,4.3
agillian@ron-tech.com,2,0.7
agleich@finjob.com,3,3.2
aglick@treequote.com,1,2.9
aglick@treequote.com,5,1.6
agobern@ontomedia.com,4,1.7
agotter@isdom.com,1,2.5
agotter@statholdings.com,1,5.8
ahalsey@faxquote.com,1,2.3
ahalsey@faxquote.com,2,1.2
ahalsey@faxquote.com,3,10
ahalsey@plussunin.com,1,6.2
aharnos@bioholding.com,2,4.3
aharoldson@zumgoity.com,1,2.8
aharoldson@zumgoity.com,2,2.4
aheintzman@donquadtech.com,1,7.3
ahoogland@zencorporation.com,6,2.8
ahoopengardner@kan-code.com,1,4.2
ahoopengardner@zotware.com,2,2
ahoopengardner@zumgoity.com,3,1.6
ahusser@toughzap.com,2,2
ahusser@toughzap.com,3,2.9
aisenhower@warephase.com,3,1.6
ajacobos@kan-code.com,1,2.4
ajeanty@gogozoom.com,2,3.9
ajillson@rantouch.com,1,5.8
ajurney@silis.com,7,3.2
akardas@singletechno.com,1,4.6
akarpin@faxquote.com,6,17.8
akarpin@singletechno.com,5,5.4
aketelsen@xx-holding.com,3,1.8
aketelsen@xx-holding.com,5,2.1
aketelsen@xx-holding.com,6,3.1
akiel@codehow.com,2,5.2
akiel@scotfind.com,1,4.3
akippley@stanredtax.com,3,2.6
akitzman@sonron.com,2,0.3
akitzman@sonron.com,3,2.4
akorando@doncon.com,3,1.3
akorando@finjob.com,1,4.1
akownacki@green-plus.com,1,8.5
akulzer@scotfind.com,2,2
akulzer@scotfind.com,3,4
alace@xx-holding.com,2,2.6
alapage@ontomedia.com,1,1.5
alapage@ontomedia.com,3,2.1
alary@toughzap.com,2,20.1
alary@toughzap.com,3,3.2
alindall@gogozoom.com,1,4.5
aliukko@hatfan.com,4,3.8
aloader@scottech.com,1,3.4
aluczki@konmatfix.com,1,0.5
alungren@opentech.com,2,2.1
alungren@opentech.com,4,2.7
alungren@opentech.com,8,4.2
alungren@opentech.com,10,7
amaillard@bioholding.com,3,1.5
amarrier@hatfan.com,3,4.4
amatuszak@dalttechnology.com,1,1.6
amaybury@rundofase.com,2,1.4
amcdoniel@faxquote.com,1,1
amcdoniel@kinnamplus.com,1,7.6
amiceli@funholding.com,1,1.4
amirafuentes@finhigh.com,3,3.1
amirafuentes@finhigh.com,5,2.1
amirafuentes@newex.com,3,5.8
amiro@groovestreet.com,7,2.8
amodzelewski@yearin.com,3,3.2
amonarrez@inity.com,3,9.3
amonarrez@toughzap.com,4,4.4
amondella@zathunicon.com,3,8.7
amoyd@betatech.com,1,3.6
amyricks@sonron.com,3,2.8
anabours@bioholding.com,1,4
anewville@sunnamplex.com,1,2.3
anicka@zotware.com,2,1.1
aoles@blackzim.com,2,2.3
aostolaza@iselectrics.com,2,1.3
aostolaza@iselectrics.com,3,1.8
apagliuca@xx-zobam.com,3,3.5
apalaia@cancity.com,1,5.9
apalaia@hatfan.com,2,0.9
apedrozo@silis.com,1,1.4
apelkowski@warephase.com,2,0.6
aradde@plussunin.com,2,1.1
arauser@fasehatice.com,1,2.3
arauser@fasehatice.com,3,1.1
aregusters@lexiqvolax.com,2,2.8
areiber@scottech.com,3,1.4
ariopelle@mathtouch.com,2,3.2
ariopelle@mathtouch.com,3,3.2
arochin@toughzap.com,2,0.8
arodefer@sumace.com,1,4.9
asaras@green-plus.com,1,1.9
asaras@green-plus.com,4,8.4
asawchuk@hottechi.com,1,0.5
asawchuk@hottechi.com,3,0.8
