household_email,appliance_number,hspf,seer
aasar@fasehatice.com,5,23.2,43.3
aauffrey@kinnamplus.com,1,26.3,49.6
acoody@finjob.com,4,23.7,41.1
adaufeldt@singletechno.com,3,20,43
adegonia@bioholding.com,3,20.8,47.6
aeanes@fasehatice.com,1,29.1,40
afritz@funholding.com,1,18.4,38.9
agillian@ron-tech.com,1,22,49.1
aglick@treequote.com,4,20,35.8
aklonowski@donquadtech.com,3,19,61.2
arantanen@singletechno.com,1,26.5,40.3
arodefer@sumace.com,6,27.8,28.9
asilvestrini@sunnamplex.com,1,21,40.3
askulski@blackzim.com,3,15.4,45.2
astenseth@plusstrip.com,6,19.1,40.2
astoltzman@zotware.com,2,21.6,31.9
atheodorov@fasehatice.com,3,23.9,73.9
avanheusen@finjob.com,7,19.2,51.7
azane@zencorporation.com,2,16.5,28
bberganza@streethex.com,1,21.2,28.9
bcolla@golddex.com,3,21,30.8
bdubaldi@newex.com,9,11.2,45.3
bfrankel@sunnamplex.com,5,25.6,45.8
bhiatt@ganjaflex.com,4,24.2,46.7
bleinenbach@dontechi.com,1,25.4,38
bmcnease@cancity.com,6,21.3,43.3
bnestle@xx-holding.com,1,19.6,41.2
btomasulo@green-plus.com,1,18.1,34
bweirather@ganjaflex.com,1,26.5,37
bwenzinger@ontomedia.com,4,19,34.6
cacuff@codehow.com,3,23.9,47.5
ccetta@rundofase.com,6,20.6,35.5
cglick@scotfind.com,1,22.2,41.5
chixenbaugh@dalttechnology.com,2,17.8,41.4
choneywell@opentech.com,1,19.9,37.3
clayous@singletechno.com,3,21.6,45.2
cpapasergi@golddex.com,6,16.6,41.8
cweglarz@konex.com,1,11.5,45.4
dbuvens@rangreen.com,1,26.9,38.6
ddarakjy@cancity.com,6,21.9,51
dharnos@rantouch.com,7,19.1,47.7
dpagliuca@stanredtax.com,11,24.7,27.8
ecoody@treequote.com,3,18.1,29.5
ecoody@treequote.com,5,25.3,25.7
ehoopengardner@newex.com,1,19.9,55.7
esaras@y-corporation.com,3,16.5,58.8
