household_email,appliance_number,energy_source
aauber@cancity.com,1,electric
abayless@faxquote.com,1,gas
abirkner@ron-tech.com,1,electric
abourbon@fasehatice.com,1,electric
abrideau@streethex.com,3,electric
acaldarera@cancity.com,4,electric
adegroot@isdom.com,3,fuel oil
aehmann@mathtouch.com,3,electric
afarrar@kan-code.com,3,gas
afigeroa@dalttechnology.com,2,electric
aflister@sonron.com,1,electric
afortino@openlane.com,3,gas
agabisi@dalttechnology.com,3,gas
ajulia@zathunicon.com,2,electric
akarpin@singletechno.com,4,gas
aketelsen@xx-holding.com,2,electric
akitzman@sonron.com,4,electric
aloder@rundofase.com,1,gas
aloder@rundofase.com,2,gas
amartabano@ron-tech.com,1,gas
amatuszak@dalttechnology.com,5,gas
amaybury@rundofase.com,4,electric
amaynerich@treequote.com,2,gas
ameteer@betatech.com,1,electric
amirafuentes@finhigh.com,4,electric
arauser@fasehatice.com,4,electric
arauser@fasehatice.com,5,electric
ariopelle@mathtouch.com,1,electric
asama@zoomit.com,1,gas
aschmaltz@zencorporation.com,2,electric
asimilton@plussunin.com,2,gas
aslusarski@iselectrics.com,1,electric
astenseth@plusstrip.com,3,electric
azurcher@codehow.com,1,gas
bbutt@bioholding.com,1,gas
bdelasancha@warephase.com,5,gas
bdewar@fasehatice.com,2,electric
beanes@y-corporation.com,1,gas
bfeichtner@goodsilron.com,1,gas
bfelger@silis.com,1,gas
bfelger@year-job.com,3,electric
bgochal@scotfind.com,9,electric
bgreenbush@cancity.com,2,gas
bhalter@rangreen.com,2,electric
briopelle@donquadtech.com,6,gas
bsteffensmeier@y-corporation.com,1,electric
btreston@ron-tech.com,1,gas
bwitten@green-plus.com,4,electric
cbevelacqua@codehow.com,2,gas
cbirkner@hottechi.com,1,electric
ccallaro@stanredtax.com,2,gas
cchui@ganjaflex.com,1,electric
ccolaizzo@warephase.com,4,electric
cdallen@scotfind.com,2,electric
cdallen@singletechno.com,5,fuel oil
cdenooyer@bioholding.com,1,electric
