household_email,appliance_number,model,btu,capacity,temperature,energy_source,manufacturer_name
aacey@rundofase.com,2,Supweraquower,5200,38.6,149,gas,Barvenadower Holdings
aarceo@fasehatice.com,2,NULL,4636,35.8,205,thermosolar,Refropefex WorldWide Group
aarceo@fasehatice.com,3,Cipwerponin,4756,18,NULL,electric,Rewerpan WorldWide Company
aaredondo@plexzap.com,2,Supglibackazz,2648,21,103,heat pump,Grofropedgax WorldWide
aarias@goodsilron.com,1,Tipwerewover,17200,69.8,NULL,gas,Hapjubex Inc
aarias@singletechno.com,1,NULL,8060,14,124,thermosolar,Emwericator WorldWide Company
abarfield@finjob.com,1,Unweropin,7014,41.7,176,electric,Frobanan Holdings Group
abarfield@finjob.com,4,Frobanor,6696,18.5,119,gas,Upjubazz Direct Company
aberlanga@statholdings.com,1,Unglibedar,7872,39.6,NULL,thermosolar,Emtinistor WorldWide Inc
aberray@scottech.com,1,Ciperupicator,8720,28.7,187,heat pump,Lombanex WorldWide
aberray@scottech.com,3,Rapmunommor,9327,37.8,103,gas,Monjubin
abevelacqua@zencorporation.com,2,Endmunackazz,3940,11.9,187,electric,Parpickicentor Inc
abiddy@bioholding.com,2,Ciptanplan,3780,43,115,gas,Grofropistor Direct Company
abilden@labdrill.com,6,NULL,8087,10.4,219,electric,Hapzapantor
abilden@xx-holding.com,1,Varpickollazz,10810,71.5,151,gas,Adtumommin Inc
ablackwood@codehow.com,3,Winjubepex,6516,14.2,102,electric,Winsapplover
abowley@zoomit.com,2,Monfropegantor,3979,42,110,heat pump,Thrutinegin Direct
abowley@zoomit.com,3,Dopjuban,3314,63.7,104,thermosolar,Intinicower
abrachle@finjob.com,4,NULL,7333,56.7,NULL,heat pump,Truglibazz Direct
abrideau@streethex.com,1,Adpickin,5223,29.8,95,gas,Hapjubex Inc
abrideau@streethex.com,6,NULL,6225,93.5,NULL,gas,Thrurobicar WorldWide
abrucato@plussunin.com,3,Embanamentor,7283,22.1,112,gas,Varrobegower Company
acaiafa@nam-zim.com,6,Unrobower,5184,45.4,112,electric,Emvenazz Holdings
acaldarera@cancity.com,2,Zeepickewan,6142,51.3,173,gas,Surcadinin International
acalvaresi@nam-zim.com,6,Winkilopor,7079,49,166,gas,Klibanedgor Holdings
acalvaresi@nam-zim.com,7,NULL,7399,14.1,98,electric,Parvenollazz WorldWide Group
acalvaresi@ontomedia.com,1,Thrumunupin,3921,32.1,106,gas,Trubanantor WorldWide
acalvaresi@ontomedia.com,2,Trutumadazz,3391,31.3,105,heat pump,Advenex Inc
acanlas@xx-zobam.com,1,NULL,16395,46.4,92,electric,Surdimicator
acantres@sonron.com,4,Unquestefin,5708,42.5,120,thermosolar,Hapmunentor Holdings
achickering@rundofase.com,1,Empebupor,9114,51.5,260,thermosolar,Uptumicator WorldWide
aclaucherty@toughzap.com,1,Truzapower,13277,15.1,144,thermosolar,Rerobower WorldWide Inc
acolla@zathunicon.com,1,Supvenefover,14484,29.2,107,electric,Tupdudar Direct
acork@doncon.com,4,Lomtanadover,4828,55.8,96,electric,Cipwerpeficator
acoyier@y-corporation.com,2,Recadadentor,8007,92.1,192,gas,Parjuban WorldWide Corp.
acronauer@golddex.com,2,Adrobaquor,7173,30.6,263,gas,Trurobax Direct Company
acronauer@golddex.com,4,Empebewex,7127,48.5,113,thermosolar,Partinax Direct Company
adallen@finjob.com,1,NULL,3912,63.7,241,thermosolar,Dopjubimex International
adallen@finjob.com,3,Grodudantor,4931,67.5,222,electric,Parfropplower WorldWide Group
adallen@finjob.com,4,Suppebopin,5017,46.7,161,thermosolar,Inrobentor WorldWide
adallen@finjob.com,7,Zeezapegentor,3754,32.2,136,gas,Pardudaquower Group
adarakjy@plusstrip.com,4,Repebadentor,8959,61.1,156,electric,Cipsapex
adaufeldt@singletechno.com,1,Supsipex,2290,48.9,129,electric,Ciptumedgicator Inc
adegonia@bioholding.com,1,Cipzapaquar,5950,29.6,111,electric,Winmunilan
adegonia@bioholding.com,5,Thrubanefax,5812,33.7,117,gas,Tipbanan International
