household_email,power_number,battery,kilowatt_hours,energy_source
aacey@rundofase.com,1,NULL,188,solar-electric
aacuff@rantouch.com,1,47,84,solar-electric
aamyot@ontomedia.com,1,29,21,solar-electric
aarceo@zoomit.com,1,18,15,solar-electric
aarias@singletechno.com,1,55,58,solar-electric
abarfield@dambase.com,1,13,49,solar-electric
abarfield@finjob.com,1,NULL,95,solar-electric
abayless@faxquote.com,1,NULL,36,solar-electric
abennick@labdrill.com,1,33,46,solar-electric
aberlanga@statholdings.com,1,17,56,solar-electric
aberlanga@statholdings.com,2,27,69,solar-electric
aberray@scottech.com,1,NULL,99,solar-electric
abevelacqua@zencorporation.com,1,38,33,solar-electric
abiddy@bioholding.com,1,27,125,solar-electric
abilden@xx-holding.com,1,26,92,solar-electric
abilden@xx-holding.com,2,15,95,wind
abirkner@ron-tech.com,1,20,67,solar-electric
aboord@y-corporation.com,1,NULL,28,solar-electric
aborgman@konex.com,1,NULL,154,solar-electric
abourbon@fasehatice.com,1,NULL,34,solar-electric
abourbon@fasehatice.com,2,24,69,solar-electric
abrachle@finjob.com,1,87,17,solar-electric
abrachle@konmatfix.com,1,25,103,solar-electric
abrucato@plussunin.com,1,10,70,solar-electric
abruschke@plusstrip.com,1,19,123,solar-electric
acaiafa@nam-zim.com,1,NULL,15,solar-electric
acalvaresi@nam-zim.com,1,41,19,solar-electric
acanlas@xx-zobam.com,1,20,52,solar-electric
acantres@dontechi.com,1,46,24,solar-electric
acantres@sonron.com,1,NULL,80,solar-electric
achavous@groovestreet.com,1,17,47,solar-electric
aclaucherty@toughzap.com,1,15,77,solar-electric
acolla@zathunicon.com,1,29,34,solar-electric
acoody@finjob.com,1,NULL,37,solar-electric
acoyier@y-corporation.com,1,55,15,solar-electric
adallen@finjob.com,1,NULL,92,solar-electric
adegonia@bioholding.com,1,NULL,98,solar-electric
adegonia@bioholding.com,2,12,115,solar-electric
adegonia@zathunicon.com,1,17,19,solar-electric
adegroot@isdom.com,1,36,65,solar-electric
ademesa@bioholding.com,1,NULL,42,wind
ademesa@zoomit.com,1,25,83,solar-electric
ademesa@zoomit.com,2,NULL,84,solar-electric
adhamer@xx-holding.com,1,49,22,solar-electric
adiscipio@warephase.com,1,NULL,35,solar-electric
adopico@scottech.com,1,NULL,59,solar-electric
aeanes@scottech.com,1,88,117,solar-electric
aehmann@mathtouch.com,1,NULL,104,solar-electric
aengelberg@dontechi.com,1,22,115,solar-electric
aengelberg@scottech.com,1,56,77,wind
aestell@ganjaflex.com,1,NULL,78,solar-electric
afarrar@kan-code.com,1,44,76,solar-electric
afarrow@isdom.com,1,42,86,solar-electric
afarrow@streethex.com,1,NULL,16,solar-electric
afelger@betatech.com,1,29,96,wind
afoller@gogozoom.com,1,NULL,63,solar-electric
afortino@openlane.com,1,NULL,67,solar-electric
afortino@openlane.com,2,11,97,wind
afrey@treequote.com,1,22,19,solar-electric
agabisi@ganjaflex.com,1,21,20,solar-electric
agato@ontomedia.com,1,19,108,solar-electric
agesick@rantouch.com,1,11,17,solar-electric
agillaspie@finhigh.com,1,91,121,solar-electric
agleich@finjob.com,1,17,108,solar-electric
aglick@treequote.com,1,109,93,solar-electric
agotter@isdom.com,1,10,92,solar-electric
agudroe@sunnamplex.com,1,18,20,solar-electric
ahalsey@plussunin.com,1,71,127,solar-electric
ahalter@sunnamplex.com,1,36,73,solar-electric
ahamilton@cancity.com,1,NULL,141,solar-electric
aharnos@bioholding.com,1,36,16,solar-electric
aharnos@bioholding.com,2,35,121,solar-electric
aheintzman@donware.com,1,10,94,solar-electric
aheintzman@donware.com,2,15,18,solar-electric
ahengel@groovestreet.com,1,NULL,79,solar-electric
ahochard@hottechi.com,1,32,35,solar-electric
ahoffis@kan-code.com,1,15,69,solar-electric
ahusser@toughzap.com,1,12,22,solar-electric
aisenhower@doncon.com,1,13,27,wind
aisenhower@warephase.com,1,NULL,99,solar-electric
ajacobos@gogozoom.com,1,51,58,wind
ajacobos@gogozoom.com,2,NULL,31,solar-electric
